שנה,קוד רמה 1,שם רמה 1,קוד רמה 2,שם רמה 2,קוד סוג סעיף,שם סוג סעיף,קוד סעיף,שם סעיף,קוד תחום,שם תחום,קוד תכנית,שם תכנית,קוד תקנה,שם תקנה,קוד מיון רמה 1,שם מיון רמה 1,קוד מיון רמה 2,שם מיון רמה 2,הוצאה/הכנסה,פשח,הוצאה נטו,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1510,כח אדם,151002,גמלאות,15100205,גמלאות עובדי משרד הביטחון,1,שכר,30,שכר בארץ,הוצאה,0,330264,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1510,כח אדם,151002,גמלאות,15100206,תרבות ורווחה גמלאי משרד הביטחון,1,שכר,30,שכר בארץ,הוצאה,0,853,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110101,קניות ושירותים אחרים,2,קניות,33,קניות בארץ,הוצאה,0,15953447,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110102,מעברים,2,קניות,33,קניות בארץ,הוצאה,0,321363,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110103,מכשול ומרכיביו,2,קניות,33,קניות בארץ,הוצאה,0,388404,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110104,חשמל,2,קניות,33,קניות בארץ,הוצאה,0,514790,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110105,ארנונה למעט ערי עולים,2,קניות,33,קניות בארץ,הוצאה,0,409845,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110106,הובלה שכורה ותחבורה ציבורית,2,קניות,33,קניות בארץ,הוצאה,0,1480043,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110107,הקרן לקליטת חיילים משוחררים תפעול,2,קניות,33,קניות בארץ,הוצאה,0,7414,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110108,היחידה להכוונת חיילים משוחררים,2,קניות,33,קניות בארץ,הוצאה,0,6931,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110109,קרית ההדרכה זכיין,2,קניות,33,קניות בארץ,הוצאה,0,257709,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110110,"צה""ל לנגב",2,קניות,33,קניות בארץ,הוצאה,0,552770,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110116,השתתפות במשרדי ממשלה,19,העברות  פנים תקציביות,300,השתתפויות,הוצאה,0,0,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110117,הוצאות ביטחון נוספות,2,קניות,33,קניות בארץ,הוצאה,0,0,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110118,רזרבה ליעדים פיסקליים,2,קניות,173,רזרבה,הוצאה,0,962849,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110120,"קניות בחו""ל ותשלומי מע""מ בגין ייבוא ביטחוני",2,קניות,198,"קניות בחו""ל",הוצאה,0,2885850,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110121,רזרבה לתקציב התאמות,2,קניות,173,רזרבה,הוצאה,0,436477,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1511,הוצאות ביטחון,151102,הרשות לפינוי שדות,15110201,תפעול ומנהל,2,קניות,33,קניות בארץ,הוצאה,0,18488,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1511,הוצאות ביטחון,151102,הרשות לפינוי שדות,15110202,שכר,1,שכר,30,שכר בארץ,הוצאה,0,8512,,,,,,,,,,,,,,,,,
